name,type
paneertikkamasala,pannergravy
cholebatture,sabji
chickentandoori,nstarter
malaikofta,gravy
palakpaneer,gravy
aloogobi,sabji
dalkichdi,rice
vegbiryani,biryani
cheesepulav,rice
rajmabiryani,biryani
vegpulao,rice
peaspulao,rice
butterchicken,ngravy
chickentikka,ngravy
chickenfry,nstarter
chickenlolipop,nstarter
chickenpulao,nrice
chineesepulao,rice
jeerarice,rice
curdrice,rice
tawapulao,rice
palakkichdi,rice
onionutappa,dosa
tomatoutappa,dosa
pavbhaji,snacks
mysoredosa,dosa
onionravadosa,dosa
frenchtoast,breakfast
ravadosa,dosa
chickenbiryani,nonvegrice
eggomlette,breakfast
eggburji,nvegstarter
chickencrispy,nvegstarter
daltadka,sabji
dalfry,sabji
mattarmasala,sabji
mushroommasala,sabji
aloomattar,sabji
makhanwala,sabji
hydrebadi,sabji
kajumasala,sabji
palakpaneer,sabji
mattarpaneer,sabji
hakkanoodles,chinese
meduwada,breakfast
dahiwada,breakfast
dosa,dosa
masalapav,snacks
sandwichchutney,snacks
cheeseburger,ffood
burger,ffood
chickenburger,nffood
cheesepizza,pizza
pizza,pizza
paneerpizza,pizza
vegafghani,sabji
vegjaipuri,sabji
vegkholapuri,sabji
vegkurma,sabji
dumaloo,sabji
paneerkurma,psabji
paneermutter,psabji
paneermasala,psabji
paneerburji,psabji
bhendimasala,sabji
paneermakhanwala,psabji
paneerbuttermasala,psabji
alumutter,sabji
alujeera,sabji
bainganbharta,sabji
paneerpasanda,psabji
kadaipaneer,psabji
paneerkadai,psabji
hydrebadibiryani,biryani
kashmiripulao,rice
arrabiatapasta,pasta
paneerpasta,pasta
italianpasta,pasta
lasagne,pasta
sicilianspaghetti,noodles
alferedopasta,pasta
garlicbread,side
nachos,side
mexicantaco,ffood
burritos,ffood
cheeseroll,roll
vegcrispy,starter
paneercrispy,starter
frenchfries,ffood
cauliflowerchilly,starter
schezwannoodles,noodles
malaysianflatnoodles,noodles
shanghaifriedrice,rice
tripleschezwanrice,rice
americanchopsuey,starter
vadapav,snacks
panipuri,chat
dahipuri,chat
ragadapuri,chat
samosa,snacks
onionrings,bhaji
kandabhaji,bhaji
onionbhaji,bhaji
cauliflowerbhaji,bhaji
cheesemomo,momo
pannercheesemomos,momo
chickenmomos,momo
chineesebhel,snacks
bhelpuri,chat
sevpuri,chat
dhokla,breakfast
jalebi,sweet
choclatecake,cakesweet
khandhavi,breakfast
mysorepak,sweet
gulabjamun,sweet
sambhar,south
rasam,south
coconutchutney,dosa
rasmalai,sweet
carrothalwa,sweet
kajarkahalwa,sweet
misalpav,snacks
usalpav,snacks
poha,breakfast
kachori,snacks
dahikachori,snacks
puribhaji,dishgravy
dabeli,snacks
shrikhand,sweet
rasghulla,sweet
malpua,sweet
ladoo,sweet
badamkahalwa,sweet
rabdi,sweet
kheer,sweet
payasam,sweet
undhiyu,sabji
kadhi,gravy
thepla,dishgravy
methitepla,dishgravy
daldhokli,snacks
fafda,breakfast
patra,snacks
neerdosa,dosa
dalbatichurma,sweet
mohantaal,sweet
laalmaas,sweet
mawakachori,sweet
kalakand,sweet
gatte,sweet
buttermilk,curde
chaach,curd
balushahi,sweet
coconutbarfi,sweet
zafranipulao,rice
dalmakhani,sabjigravy
scrambledeggs,breakfast
chicken nuggets,nsnacks